id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1833212949751861727,"Colapsó el muro de contención del Parque Ecológico del Lago de #Texcoco y se derramaron 2 millones de metros cúbicos de agua. Tres días duró el parque que hicieron los amigos de Andy López Beltrán. 

Lo mismo ocurrió en el malecón Carlos A. Madrazo en #Tabasco a principios de año.",https://x.com/RobertoMadrazo_/status/1833212949751861727,tweet,Roberto Madrazo,@RobertoMadrazo_,1329,231,7756,13819,305838,182,2024-09-09 12:36:41,https://pbs.twimg.com/media/GXDhdOfbEAQ15jk.jpg,
1832064982864847290,"Los 43 senadores de oposición se han comprometido públicamente a votar en contra de la #ReformaJudicial. Las licencias de los suplentes están tramitadas en caso de imprevistos.

No hay pretexto, si cumplen su palabra el oficialismo no tiene los votos.

Respaldemos a los #senadores para que resistan las amenazas, los chantajes y los sobornos.",https://x.com/RobertoMadrazo_/status/1832064982864847290,tweet,Roberto Madrazo,@RobertoMadrazo_,45,8,297,863,9574,4,2024-09-06 08:35:04,,
1831757874353315906,"La líder de la oposición en Venezuela, #MariaCorina, admite que el declive de la democracia en Venezuela inició cuando Hugo Chávez sustituyó a los jueces independientes por jueces a modo. 

Sin jueces autónomos no hay posibilidad de alternancia política. https://t.co/1A58Jxg07n",https://x.com/RobertoMadrazo_/status/1831757874353315906,tweet,Roberto Madrazo,@RobertoMadrazo_,38,12,645,1174,16746,19,2024-09-05 12:14:44,https://pbs.twimg.com/amplify_video_thumb/1831757815414976517/img/aKPORPZtiOg_1SaR.jpg,https://video.twimg.com/amplify_video/1831757815414976517/vid/avc1/640x360/7272mfOdtaQBXw2P.mp4?tag=16
1831454530829197325,"Ayer los #diputados de Morena-PVEM-PT aprobaron la destrucción de facto de la división de poderes. 

En la madrugada, en una sede alterna, sin escuchar a los estudiantes ni a los manifestantes se aprobó:  

1.⁠ ⁠La politización de los jueces (es falso que el pueblo elegirá a sus jueces, en realidad los jueces serán preseleccionados por la clase política).
 
2.⁠ ⁠La creación del Tribunal de Disciplina para sancionar con cárcel y juicio político a los jueces que no se alinean al oficialismo. 

3.⁠ ⁠La eliminación de la experiencia como requisito para ser juez (bastará con ser licenciado en derecho y “compadre” de alguien en Morena). 

4.⁠ ⁠La eliminación de fideicomisos judiciales para ahorcar financieramente a los jueces. 

5.⁠ ⁠Los jueces sin rostro. Una política pública altamente cuestionada en donde el acusado por delincuencia organizada no conoce la identidad del juez a cargo de su caso. 

Esta reforma esta diseñada para que el gobierno tome el control absoluto de los jueces y magistrados. En #Bolivia ya se intentó y los llevó a la ruina.  

Todavía tenemos una esperanza. El @senadomexicano .",https://x.com/RobertoMadrazo_/status/1831454530829197325,tweet,Roberto Madrazo,@RobertoMadrazo_,4,0,23,67,1737,2,2024-09-04 16:09:21,,
1831018407275438585,"López Obrador esta a punto de destruir la función judicial en México y de quitar a todos los mexicanos el derecho humano a que un juez IMPARICAL límite el abuso de poder del Estado. 

Hagamos un llamado a @RicardoMonrealA, para que en su calidad de líder de la bancada de Morena, recapacite sobre las consecuencias de la reforma. 

Elegir a jueces por votó popular compromete su función.

Sin jueces imparciales, las autoridades podrán pasar por encima de los particulares y no habrá nadie que se los impida.  

Las #autoridades podrán determinar impuestos ilegalmente, meter a la cárcel a inocentes, despojar a las personas de sus posesiones, revocar permisos e incumplir procesos legales, pues los jueces responderán al poder político, no a los ciudadanos. 

Exigimos un alto. Los rencores y venganzas de un solo hombre no pueden ser más grandes que nuestra República.",https://x.com/RobertoMadrazo_/status/1831018407275438585,tweet,Roberto Madrazo,@RobertoMadrazo_,93,8,312,685,9008,8,2024-09-03 11:16:21,,
1830647731695804428,"1er acto: El @TECDMX arrebata a la opositora @AlessandraRdlv  la alcaldía Cuauhtémoc por órdenes de Morena. 

2do acto: Los diputados de Morena amenazan con cárcel y juicio político a los jueces que ordenaron una suspensión en contra de la discusión a la #ReformaJudicial.

¿Como se llamó la obra? En el nuevo régimen los jueces solo tienen dos opciones: cumplir los caprichos de Morena o ser enviados a la cárcel.

Septiembre pasará a la historia como un parteaguas. Hemos perdido el derecho a que un juez imparcial nos defienda del abuso del poder del Estado. 

Un retroceso histórico en derechos humanos. 

Disfruten lo votado.",https://x.com/RobertoMadrazo_/status/1830647731695804428,tweet,Roberto Madrazo,@RobertoMadrazo_,262,29,1621,3770,96534,44,2024-09-02 10:43:25,,
1829534579180687582,"El #PVEM le ha devuelto a Morena 15 diputaciones para garantizarle a Morena la mayoría absoluta (50%+1) en la Cámara de Diputados. 

Si algo han aprendido los legisladores en estos días, es la importancia de los partidos satélites para hacer fraude a la voluntad popular.

Verán, aunque el #PVEM solo ganó en 6 distritos electorales, le adjudicaron 51 diputados por la vía plurinominal con el apoyo de los votos de Morena. 

De esta forma, Morena pudo transferir sus triunfos al #PVEM por la vía plurinominal, evitar rebasar el límite de la sobrerrepresentación del 8% y que le devuelvan a 15 diputados. 

No es de extrañar que ayer se haya anunciado que la reforma electoral de @lopezobrador_ para eliminar a los diputados #plurinominales se vaya a retirar.",https://x.com/RobertoMadrazo_/status/1829534579180687582,tweet,Roberto Madrazo,@RobertoMadrazo_,12,1,155,305,4192,3,2024-08-30 09:00:09,,
1829263939495952476,@oleavabogado @INAImexico @bl_ibarra @AdrianAlcala75 Suscribo @oleavabogado,https://x.com/RobertoMadrazo_/status/1829263939495952476,tweet,Roberto Madrazo,@RobertoMadrazo_,0,0,0,2,113,0,2024-08-29 15:04:43,,
1829180997361189242,https://t.co/dgTpygWugQ,https://x.com/RobertoMadrazo_/status/1829180997361189242,tweet,Roberto Madrazo,@RobertoMadrazo_,0,0,13,26,964,0,2024-08-29 09:35:08,https://pbs.twimg.com/media/GWKObApW8AA_oLx.jpg,
1829180990213722505,"A pesar de que el #PAN y el #PRI obtuvieron más votos que el #PVEM, ayer cuatro magistrados del Tribunal Electoral decidieron avalar una sobrerrepresentación ilegal, y convertir al #PVEM en la segunda fuerza política en la Cámara de Diputados. 

En efecto, a pesar de que el #PAN obtuvo 17% de la votación nacional, es decir, el doble de votos que el #PVEM  (8%), el PVEM tendrá 77 curules y el PAN 72 curules. 

Lo mismo ocurre con el #PRI, que obtuvo 11% de la votación nacional, pero tan solo recibirá 35 curules. Incluso por debajo del #PT, que obtendrá 51 curules con 5% de la votación nacional. 

A cambio de consumar el fraude al voto popular, los magistrados del #TEPJF serán recompensados por Morena, extenderán su mandato hasta 2027, y después, podrán aspirar al cargo de Ministros del Corte.",https://x.com/RobertoMadrazo_/status/1829180990213722505,tweet,Roberto Madrazo,@RobertoMadrazo_,41,9,361,704,8522,13,2024-08-29 09:35:07,,
